YEAR,DATE,TIME ,VENUE,COMPETITION,HOME,SCORE H,AWAY,SCORE A
2019,24/10/2019,20:00,NAC Pool D,U16 BOYS CUP SF1,NDWSC,2,ST VINCENTS,7
2019,24/10/2019,20:40,NAC Pool D,U16 GIRLS CUP,CLONTARF,6,NDWSC,15
2019,24/10/2019,21:20,NAC Pool D,DIV 1 CUP,SANDYCOVE,7,NDWSC,13
2019,31/10/2019,20:00,NAC Pool D,DIV 3 CUP RD1,DROGHEDA,7,TRINITY,7(P)
2019,31/10/2019,20:40,NAC Pool D,LLD2,HALF MOON,3,NDWSC,10
2019,31/10/2019,21:20,NAC Pool D,DIV 1 CUP,HALF MOON,7,ST VINCENTS,14
2019,07/11/2019,20:00,NAC Pool D,U16 BOYS CUP RD1,CLONTARF,18,HALF MOON,0
2019,07/11/2019,20:40,NAC Pool D,U16 GIRLS CUP,ST VINCENTS,14,CLONTARF,4
2019,07/11/2019,21:20,NAC Pool D,DIV 2 CUP RD1,NDWSC,5,DROGHEDA,4
2019,14/11/2019,20:00,NAC Pool D,U16 BOYS CUP SF2,ST VINCENTS,3,CLONTARF,10
2019,14/11/2019,20:40,NAC Pool D,U16 GIRLS CUP,ST VINCENTS,4,NDWSC,9
2019,14/11/2019,21:20,NAC Pool D,DIV 3 CUP RD1,CLONTARF,7,NDWSC,5
2019,26/11/2019,20:00,NAC Pool D,LADIES SENIOR CUP,TRINITY,4,CLONTARF,0 (w)
2019,26/11/2019,21:00,NAC Pool D,LLD3,TRINITY,5,DROGHEDA,8
2019,28/11/2019,20:00,NAC Pool D,BOYS U19 CUP SF 1,CLONTARF,5,NDWSC,6
2019,28/11/2019,20:40,NAC Pool D,BOYS U19 CUP SF 2,ST VINCENTS,9,DROGHEDA,2
2019,28/11/2019,21:20,NAC Pool D,DIV 3 CUP RD1,GUINNESS,10,UCD,4
2019,03/12/2019,20:00,NAC Pool D,LADIES SENIOR CUP,TRINITY,6,ST VINCENTS,17
2019,03/12/2019,21:00,NAC Pool D,LLD3,TRINITY,9,GUINNESS,6
2019,05/12/2019,20:00,NAC Pool D,DIV 2 CUP SF 1,CLONTARF,7,ST VINCENTS,9
2019,05/12/2019,20:40,NAC Pool D,DIV 2 CUP SF 2,HALF MOON,2,NDWSC,17
2019,05/12/2019,21:20,NAC Pool D,DIV 3 CUP RD1,SANDYCOVE,7,ST VINCENTS,12
2019,19/12/2019,20:00,NAC Pool D,DIV 3 CUP SF 1,NDWSC,8,ST VINCENTS,5
2019,19/12/2019,20:40,NAC Pool D,U19 GIRLS CUP FINAL,ST VINCENTS,9,NDWSC,3
2019,19/12/2019,21:20,NAC Pool D,DIV 3 CUP SF 2,CLONTARF,11,GUINNESS,4
2019,21/12/2019,14:30,NAC Pool D,U16 BOYS CUP FINAL,ST VINCENTS,4,CLONTARF,9
2019,21/12/2019,15:10,NAC Pool D,U16 GIRLS CUP FINAL,NDWSC,8,ST VINCENTS,9
2019,21/12/2019,15:50,NAC Pool D,U19 BOYS CUP FINAL,NDWSC,8,ST VINCENTS,3
2019,21/12/2019,16:30,NAC Pool D,DIV 3 MENS CUP FINAL,NDWSC,4,CLONTARF,4 (P)
2019,21/12/2019,17:10,NAC Pool D,DIV 2 MENS CUP FINAL,ST VINCENTS,8,NDWSC,7
2019,21/12/2019,18:00,NAC Pool D,SENIOR LADIES CUP FINAL,CLONTARF,10,ST VINCENTS,15
2020,02/01/2020,20:00,NAC Pool D,Boys U16,CLONTARF,5,NDWSC,3
2020,02/01/2020,20:40,NAC Pool D,LLD2,HALF MOON,8,CLONTARF,6
2020,02/01/2020,21:20,NAC Pool D,LLD3,NDWSC,7,CLONTARF,5
2020,09/01/2020,20:00,NAC Pool D,Boys U16,ST VINCENTS,10,DROGHEDA,2
2020,16/01/2020,20:00,NAC Pool D,Boys U16,CLONTARF,12,ST VINCENTS,8
2020,16/01/2020,20:40,NAC Pool D,LLD2,SANDYCOVE,13,DROGHEDA,4
2020,16/01/2020,21:20,NAC Pool D,LLD3,DROGHEDA,6,GUINNESS,8
2020,23/01/2020,20:00,NAC Pool D,Boys U16,NDWSC,8,DROGHEDA,5
2020,23/01/2020,20:40,NAC Pool D,LLD2,NDWSC,9,CLONTARF,4
2020,23/01/2020,21:20,NAC Pool D,LLD3,NDWSC,11,DROGHEDA,2
2020,30/01/2020,20:40,NAC Pool D,Boys U16,ST VINCENTS,4,NDWSC,4
2020,30/01/2020,21:20,NAC Pool D,LLD3,ST VINCENTS,5,GUINNESS,6
2020,06/02/2020,20:00,NAC Pool D,Boys U16,DROGHEDA,5,CLONTARF,12
2020,06/02/2020,20:40,NAC Pool D,LLD2,NDWSC,11,HALF MOON,3
2020,06/02/2020,21:20,NAC Pool D,LLD3,NDWSC,9,UCD,4
2020,13/02/2020,20:00,NAC Pool D,GIRLS U16,CLONTARF,3,NDWSC,9
2020,13/02/2020,20:40,NAC Pool D,LLD2,SANDYCOVE,6,CLONTARF,5
2020,13/02/2020,21:20,NAC Pool D,LLD3,TRINITY,3,CLONTARF,8
2020,20/02/2020,20:00,NAC Pool D,GIRLS U16,ST VINCENTS,6,NDWSC,6
2020,20/02/2020,20:40,NAC Pool D,LLD2,DROGHEDA,13,HALF MOON,4
2020,20/02/2020,21:20,NAC Pool D,LLD3,ST VINCENTS,7,DROGHEDA,7
2020,27/02/2020,20:00,NAC Pool D,GIRLS U16,CLONTARF,4,ST VINCENTS,8
2020,27/02/2020,20:40,NAC Pool D,LLD2,SANDYCOVE,7,HALF MOON,12
2020,27/02/2020,21:20,NAC Pool D,LLD3,ST VINCENTS,8,UCD,5
2020,05/03/2020,20:00,NAC Pool D,Boys U16,NDWSC,14,ST VINCENTS,4
2020,05/03/2020,20:40,NAC Pool D,LLD2,NDWSC,8,SANDYCOVE,4
2020,05/03/2020,21:20,NAC Pool D,LLD3,NDWSC,6,GUINNESS,3
2020,12/03/2020,20:00,NAC Pool D,Boys U16,DROGHEDA,,NDWSC,
2020,12/03/2020,20:40,NAC Pool D,Boys U16,ST VINCENTS,,CLONTARF,
2020,12/03/2020,21:20,NAC Pool D,LLD3,UCD,,CLONTARF,
2020,19/03/2020,20:00,NAC Pool D,LLD2,DROGHEDA,,SANDYCOVE,
2020,19/03/2020,20:40,NAC Pool D,Boys U16,DROGHEDA,,ST VINCENTS,
2020,19/03/2020,21:20,NAC Pool D,LLD3,NDWSC,,ST VINCENTS,
2020,26/03/2020,20:00,NAC Pool D,Boys U16,CLONTARF,,DROGHEDA,
2020,26/03/2020,20:40,NAC Pool D,LLD2,CLONTARF,,DROGHEDA,
2020,26/03/2020,21:20,NAC Pool D,LLD3,CLONTARF,,GUINNESS,
2020,09/04/2020,20:00,NAC Pool D,LLD2,CLONTARF,,ST VINCENTS,
2020,09/04/2020,20:40,NAC Pool D,LLD2,NDWSC,,DROGHEDA,
2020,09/04/2020,21:20,NAC Pool D,LLD3,UCD,,DROGHEDA,
2020,16/04/2020,20:00,NAC Pool D,LLD2,DROGHEDA,,CLONTARF,
2020,16/04/2020,20:40,NAC Pool D,LLD2,HALF MOON,,SANDYCOVE,
2020,16/04/2020,21:20,NAC Pool D,LLD3,GUINNESS,,UCD,
2020,23/04/2020,20:00,NAC Pool D,Girls U15,NDWSC,,ST VINCENTS,
2020,23/04/2020,20:40,NAC Pool D,Boys U15,NEWRY,,NDWSC,
2020,23/04/2020,21:20,NAC Pool D,Boys U15,DROGHEDA,,HALF MOON,
2020,30/04/2020,20:00,NAC Pool D,Boys U16,NDWSC,,CLONTARF,
2020,30/04/2020,20:40,NAC Pool D,Girls U16,NDWSC,,CLONTARF,
2020,30/04/2020,21:20,NAC Pool D,LLD2,CLONTARF,,SANDYCOVE,
2020,07/05/2020,20:00,NAC Pool D,Girls U16,ST VINCENTS,,CLONTARF,
2020,07/05/2020,20:40,NAC Pool D,LLD2,SANDYCOVE,,NDWSC,
2020,07/05/2020,21:20,NAC Pool D,LLD2,DROGHEDA,,CLONTARF,
2020,14/05/2020,20:00,NAC Pool D,Girls U16,NDWSC,,ST VINCENTS,
2020,14/05/2020,20:40,NAC Pool D,LLD2,HALF MOON,,DROGHEDA,
2020,14/05/2020,21:20,NAC Pool D,LLD2,CLONTARF,,NDWSC,
2020,21/05/2020,20:00,NAC Pool D,LLD2,CLONTARF,,HALF MOON,
2020,21/05/2020,20:40,NAC Pool D,LLD2,DROGHEDA,,NDWSC,
2020,21/05/2020,21:20,NAC Pool D,LLD3,ST VINCENTS,,TRINITY,
