YEAR,DATE,TIME ,VENUE,COMPETITION,HOME,SCORE H,AWAY,SCORE A
2018,20/09/2018,20:00,NAC,Boys U16,North Dublin,7,Clontarf,10
2018,20/09/2018,20:40,NAC,Div 3,North Dublin,8,Clontarf,3
2018,20/09/2018,21:20,NAC,Div 2,North Dublin,8,Clontarf,8
2018,27/09/2018,20:00,NAC,Boys U16,Drogheda,1,St. Vincents,7
2018,27/09/2018,20:40,NAC,Div 2,Half Moon,10,St. Vincents,8
2018,27/09/2018,21:20,NAC,Div 2,Sandycove,9,Drogheda,3
2018,04/10/2018,20:00,NAC,Girls U16,North Dublin,9,Clontarf,0
2018,04/10/2018,20:40,NAC,Boys U16,North Dublin,17,Drogheda,4
2018,04/10/2018,21:20,NAC,Div 3,UCD,3,Drogheda,15
2018,18/10/2018,20:00,NAC,Div 2,Clontarf,4,St. Vincents,6
2018,18/10/2018,20:40,NAC,Div 2,Sandycove,4,North Dublin,8
2018,18/10/2018,21:20,NAC,Div 2,Drogheda,8,Half Moon,2
2018,25/10/2018,20:00,NAC,Boys U16,Clontarf,0,Drogheda,1
2018,25/10/2018,20:40,NAC,Div 3,Guinness ,0,Clontarf,1
2018,25/10/2018,21:20,NAC,Div 3,Drogheda,0,North Dublin,1
2018,08/11/2018,20:00,NAC,Boys U16 SF1,Drogheda,2,Clontarf,19
2018,08/11/2018,20:40,NAC,Boys U16 SF2,St Vincents,10,North Dublin,1
2018,08/11/2018,21:20,NAC,Div 2 QF1,North Dublin,10,Drogheda,7
2018,15/11/2018,20:00,NAC,Girls U16 SF1,North Dublin,2,Clontarf,3
2018,15/11/2018,21:20,NAC,Div 2 SF1,St. Vincents,8,Clontarf,6
2018,22/11/2018,20:00,NAC,Div 1 SF1,North Dublin,4,St. Vincents,10
2018,22/11/2018,21:00,NAC,Div 1 SF2,Half Moon,11,Sandycove,9
2018,29/11/2018,20:00,NAC,Div 3 SF1,Clontarf,5,St. Vincents,10
2018,29/11/2018,20:40,NAC,Div 3 SF2,North Dublin,7,Guinness ,5
2018,29/11/2018,21:20,NAC,Div 2,Half Moon,0,Sandycove,4 (w/o)
2018,06/12/2018,20:00,NAC,Boys U16,St. Vincents,5,Clontarf,6
2018,06/12/2018,20:45,NAC,Div 2,Sandycove,9,St. Vincents,9
2018,13/12/2018,20:00,NAC,Boys U19 Cup SF1,North Dublin,6,Clontarf,8
2018,13/12/2018,20:40,NAC,Boys U19 Cup SF2,Drogheda,6,St. Vincents,4
2018,13/12/2018,21:20,NAC,Div 3,Clontarf,5,Guinness ,4
2018,15/12/2018,14:15,NAC,Boys U16 Final,Clontarf,5,St Vincents,8
2018,15/12/2018,15:00,NAC,Girls U16 Final,Clontarf,1,St Vincents,16
2018,15/12/2018,15:45,NAC,Boys U19 Cup Final,Clontarf,8,Drogheda,10
2018,15/12/2018,16:30,NAC,Div 3 Final,St Vincents,2,North Dublin,7
2018,15/12/2018,17:15,NAC,Div 2 Final,St Vincents,7,North Dublin,5
2018,15/12/2018,18:00,NAC,Ladies Final,St Vincents,14,Clontarf,3
2018,15/12/2018,19:00,NAC,Div 1 Final,St Vincents,14,Half Moon,8
2018,20/12/2018,20:00,NAC,Div 3,Drogheda,6,Clontarf,7
2018,20/12/2018,20:40,NAC,Div 3,North Dublin,8,Guinness ,5
2018,20/12/2018,21:20,NAC,Girls U16,North Dublin,0,St. Vincents,6
2019,03/01/2019,20:00,NAC,Boys U16,Clontarf,4,Drogheda,0 (w/o)
2019,03/01/2019,20:40,NAC,Div 3,Guinness ,7,Clontarf,8
2019,03/01/2019,21:20,NAC,Div 3,Drogheda,0,North Dublin,4 (w/o)
2019,10/01/2019,20:00,NAC,Div 3,North Dublin,14,UCD,1
2019,10/01/2019,20:40,NAC,Div 2,Half Moon,4,North Dublin,9
2019,10/01/2019,21:20,NAC,Div 2,Clontarf,5,Drogheda,11
2019,17/01/2019,20:00,NAC,Boys U16,St. Vincents,7,North Dublin,0
2019,17/01/2019,20:40,NAC,Div 3,UCD,6,North Dublin,17
2019,17/01/2019,21:20,NAC,Div 3,Clontarf,7,Drogheda,4
2019,24/01/2019,20:00,NAC,Div 2,North Dublin,2,St. Vincents,5
2019,24/01/2019,20:40,NAC,Div 2,Sandycove,10,Clontarf,6
2019,24/01/2019,21:20,NAC,Div 2,Half Moon,7,Drogheda,8
2019,31/01/2019,20:00,NAC,Boys U16,Drogheda,1,North Dublin,12
2019,31/01/2019,20:40,NAC,Div 3,Clontarf,11,UCD,1
2019,31/01/2019,21:20,NAC,Div 3,Guinness ,5,North Dublin,8
2019,07/02/2019,20:00,NAC,Div 2,North Dublin,8,Sandycove,6
2019,07/02/2019,20:40,NAC,Div 2,St. Vincents,12,Half Moon,9
2019,07/02/2019,21:20,NAC,Div 2,Drogheda,2,Clontarf,4
2019,14/02/2019,20:00,NAC,Girls U16,Clontarf,4,St. Vincents,16
2019,14/02/2019,20:40,NAC,Boys U16,Clontarf,2,St. Vincents,8
2019,14/02/2019,21:20,NAC,Div 3,Guinness ,3,Drogheda,9
2019,21/02/2019,20:00,NAC,Div 2,Clontarf,5,North Dublin,8
2019,21/02/2019,20:40,NAC,Div 2,St. Vincents,6,Drogheda,9
2019,21/02/2019,21:20,NAC,Div 2,Sandycove,7,Half Moon,5
2019,28/02/2019,20:00,NAC,Boys U16,Drogheda,0,Clontarf,10
2019,28/02/2019,20:40,NAC,Div 3,North Dublin,4,Drogheda,5
2019,28/02/2019,21:20,NAC,Div 3,UCD,6,Guinness ,10
2019,07/03/2019,20:00,NAC,Div 2,Drogheda,3,Sandycove,7
2019,07/03/2019,20:40,NAC,Div 2,St. Vincents,4,Clontarf,0 (w/o)
2019,07/03/2019,21:20,NAC,Div 2,North Dublin,9,Half Moon,5
2019,14/03/2019,20:00,NAC,Girls U16,St Vincents,9,Clontarf,4
2019,14/03/2019,20:40,NAC,Boys U16,Clontarf,7,North Dublin,5
2019,14/03/2019,21:20,NAC,Boys U16,St. Vincents,8,Drogheda,3
2019,21/03/2019,20:00,NAC,Div 2,St. Vincents,3,Sandycove,8
2019,21/03/2019,20:40,NAC,Div 2,Clontarf,8,Half Moon,15
2019,21/03/2019,21:20,NAC,Div 2,North Dublin,8,Drogheda,7
2019,04/04/2019,20:00,NAC,Div 3,Clontarf,5,North Dublin,9
2019,04/04/2019,20:40,NAC,Div 2,Drogheda,5,St. Vincents,8
2019,04/04/2019,21:20,NAC,Div 2,Half Moon,17,Clontarf,7
2019,11/04/2019,20:00,NAC,Boys U16,North Dublin,0,St. Vincents,4 (w/o)
2019,11/04/2019,20:40,NAC,Div 2,Clontarf,6,Sandycove,4
2019,11/04/2019,21:20,NAC,Div 3,Drogheda,5,UCD,8
2019,18/04/2019,20:00,NAC,Girls U16,St. Vincents,11,North Dublin,5
2019,18/04/2019,20:40,NAC,Div 2,St. Vincents,2,North Dublin,15
2019,18/04/2019,21:20,NAC,Div 3,Guinness ,4,UCD,3
2019,02/05/2019,20:00,NAC,Div 2,Drogheda,3,North Dublin,4
2019,02/05/2019,20:40,NAC,Div 3,Drogheda ,10,Guinness,11
