YEAR,DATE,TIME ,VENUE,COMPETITION,HOME,SCORE H,AWAY,SCORE A
2017,12/01/2017,20:00,,U16Boys,Drogheda,11,Nth Dublin,1
2017,12/01/2017,20:40,,U16Boys,Sandycove,11,St Vincents,4
2017,12/01/2017,21:20,,LLD3,Sandycove,5,Drogheda,9
2017,19/01/2017,20:00,,LLD3,St Vincents,2,Nth Dublin,4
2017,19/01/2017,20:40,,LLD3,Clontarf,2,Drogheda,4
2017,19/01/2017,21:20,,LLD2,Drogheda,5,Nth Dublin,4
2017,02/02/2017,20:00,,U16Boys,Guinness,0,Clontarf,21
2017,02/02/2017,20:40,,U16Boys,Sandycove,9,Drogheda,4
2017,02/02/2017,21:20,,LLD3,Clontarf,6,Sandycove,2
2017,09/02/2017,20:00,,U16Boys,Nth Dublin,10,Guinness,2
2017,09/02/2017,20:40,,U16Boys,Clontarf,3,St Vincents,3
2017,09/02/2017,21:20,,LLD3,St Vincents,2,Sandycove,1
2017,16/02/2017,20:00,,U16Boys,Drogheda,9,St Vincents,3
2017,16/02/2017,20:40,,U16Boys,Nth Dublin,5,Clontarf,3
2017,16/02/2017,21:20,,U16Girls,St Vincents,9,Clontarf,5
2017,23/02/2017,20:00,,U16Boys,Nth Dublin,2,Drogheda,9
2017,23/02/2017,20:40,,U16Boys,Guinness,0,Sandycove,4 (w/o)
2017,23/02/2017,21:20,,LLD3,Half Moon,9,Nth Dublin,5
2017,02/03/2017,20:00,,LLD3,Sandycove,5,Half Moon,6
2017,02/03/2017,20:40,,U16Girls,Nth Dublin,1,St Vincents,12
2017,02/03/2017,21:20,,LLD3,Clontarf,2,St Vincents,6
2017,09/03/2017,20:00,,LLD2,Trinity,5,Clontarf,4
2017,09/03/2017,20:40,,U16Boys,Drogheda,6,Clontarf,5
2017,09/03/2017,21:20,,LLD3,Clontarf,4,Nth Dublin,2
2017,16/03/2017,20:00,,U16Girls,Clontarf,1,St Vincents,8
2017,16/03/2017,20:40,,LLD2,Nth Dublin,13,Clontarf,3
2017,16/03/2017,21:20,,LLD3,Half Moon,7,St Vincents,5
2017,23/03/2017,20:00,,LLD3,Drogheda,5,St Vincents,11
2017,23/03/2017,20:40,,LLD2,Trinity,5,Drogheda,6
2017,23/03/2017,21:20,,LLD2,Clontarf,5,Nth Dublin,8
2017,30/03/2017,20:00,,U16Boys,Clontarf,25,Guinness,3
2017,30/03/2017,20:40,,U16Boys,Nth Dublin,1,St Vincents,3
2017,30/03/2017,21:20,,LLD2,Nth Dublin,8,Drogheda,2
2017,06/04/2017,20:00,,U16Boys,St Vincents,6,Drogheda,10
2017,06/04/2017,20:40,,U16Boys,Sandycove,16,Nth Dublin,2
2017,06/04/2017,21:20,,LLD3,Nth Dublin,4,Half Moon,12
2017,13/04/2017,20:00,,LLD3,Sandycove,5,Nth Dublin,5
2017,13/04/2017,20:40,,LLD2,Clontarf,5,Trinity,6
2017,13/04/2017,21:20,,LLD3,Half Moon,4,Drogheda,6
2017,15/04/2017,14:00,,LLD1,Sandycove,15,Leinster U/19,6
2017,15/04/2017,15:00,,LLD1,Half Moon,6,St Vincents,7
2017,15/04/2017,16:00,,LLD1,Nth Dublin,16,Clontarf,3
2017,15/04/2017,17:00,,LLD1,Half Moon,17,Sandycove,6
2017,15/04/2017,18:00,,LLD1,Nth Dublin,9,Leinster U/19,12
2017,15/04/2017,19:00,,LLD1,Clontarf,4,St Vincents,25
2017,20/04/2017,20:00,,U16Girls,Nth Dublin,4,Clontarf,5
2017,20/04/2017,20:40,,LLD3,Nth Dublin,4,St Vincents,4
2017,20/04/2017,21:20,,LLD3,Half Moon,16,Sandycove,3
2017,27/04/2017,20:00,,U16Girls,St Vincents,8,Nth Dublin,4
2017,27/04/2017,20:40,,LLD3,Drogheda,4,Clontarf,4
2017,27/04/2017,21:20,,LLD3,Sandycove,5,St Vincents,5
2017,04/05/2017,20:00,,U16Boys,Drogheda,4,Guinness,0 (w/o)
2017,04/05/2017,20:40,,LLD3,Drogheda,6,Sandycove,6
2017,11/05/2017,20:00,,U16Boys,Clontarf,11,Nth Dublin,4
2017,11/05/2017,20:40,,U16Boys,Drogheda,7,Sandycove,3
2017,11/05/2017,21:20,,LLD3,Nth Dublin,5,Drogheda,10
