YEAR,DATE,TIME ,VENUE,COMPETITION,HOME,SCORE H,AWAY,SCORE A
2016,15/09/2016,20:00,,U16Boys,St Vincents,16,Guinness,0
2016,15/09/2016,20:40,,U16Boys,Clontarf,4,Drogheda,7
2016,15/09/2016,21:20,,U16Girls,Nth Dublin,0,St Vincents,10
2016,17/09/2016,14:00,,LLD1,Nth Dublin,10,Half Moon,8
2016,17/09/2016,15:00,,LLD1,Sandycove,4,St Vincents,15
2016,17/09/2016,16:00,,LLD1,Clontarf,0,Leinster U/19,13
2016,22/09/2016,20:00,,U16Boys,Nth Dublin,3,Sandycove,15
2016,22/09/2016,20:40,,LLD2,Drogheda,6,Trinity,0
2016,22/09/2016,21:20,,LLD3,Drogheda,2,Half Moon,8
2016,29/09/2016,20:00,,U16Boys,St Vincents,8,Sandycove,7
2016,29/09/2016,20:40,,LLD3,St Vincents,5,Clontarf,4
2016,29/09/2016,21:20,,LLD2,Nth Dublin,10,Trinity,2
2016,06/10/2016,20:00,,QF1 U16CupBoys,St Vincents,4,Clontarf,5
2016,06/10/2016,20:40,,QF2 U16CupBoys,Guinness,3,Nth Dublin,7
2016,06/10/2016,21:20,,LLD3,Nth Dublin,7,Sandycove,7
2016,13/10/2016,20:00,,U16Girls,Nth Dublin,4,Clontarf,8
2016,13/10/2016,20:40,,SF1 U16CupBoys,Sandycove,7,Clontarf,4
2016,13/10/2016,21:20,,SF2 U16CupBoys,Drogheda,9,Nth Dublin,4
2016,20/10/2016,20:00,,SF U16CupGirls,Nth Dublin,0,St Vincents,17
2016,20/10/2016,20:40,,SF1 U19BoysCup,Sandycove,5,St Vincents,10
2016,20/10/2016,21:20,,SF2 U19BoysCup,Drogheda,8,Clontarf,4
2016,27/10/2016,20:00,,SF U19GirlsCup,Clontarf,2,St Vincents,8
2016,27/10/2016,20:40,,QF D2Cup,Nth Dublin,10,St Vincents,8(pens)
2016,27/10/2016,21:20,,QF D3Cup,Clontarf,6,Sandycove,9
2016,10/11/2016,20:00,,SF1 D2Cup,Clontarf,4,Nth Dublin,10
2016,10/11/2016,20:40,,SF2 D2Cup,Drogheda,5,Trinity,4
2016,10/11/2016,21:20,,LLD3,St Vincents,8,Drogheda,4
2016,17/11/2016,20:00,,LLD3,Drogheda,0,Nth Dublin,4(w/o)
2016,17/11/2016,20:40,,LLD2,Drogheda,4,Clontarf,4
2016,17/11/2016,21:20,,LLD3,Clontarf,5,Half Moon,11
2016,24/11/2016,20:00,,U16Girls,Clontarf,2,St Vincents,6
2016,24/11/2016,20:40,,SF1 D3Cup,St Vincents,8,Half Moon,10
2016,24/11/2016,21:20,,SF2 D3Cup,Nth Dublin,3,Sandycove,5
2016,26/11/2016,14:00,,LLD1,Nth Dublin,12,Sandycove,8
2016,26/11/2016,15:00,,LLD1,St Vincents,18,Leinster U/19,3
2016,26/11/2016,16:00,,LLD1,Half Moon,31,Clontarf,0
2016,26/11/2016,17:00,,LLD1,Nth Dublin,11,St Vincents,12
2016,26/11/2016,18:00,,LLD1,Half Moon,15,Leinster U/19,7
2016,26/11/2016,19:00,,LLD1,Sandycove,21,Clontarf,5
2016,01/12/2016,20:00,,U16Boys,St Vincents,14,Nth Dublin,7
2016,01/12/2016,20:40,,U16Boys,Guinness,3,Drogheda,17
2016,01/12/2016,21:20,,LLD2,Clontarf,3,Drogheda,8
2016,03/12/2016,14:00,,U16 Boys Final,Sandycove,4,Drogheda,1
2016,03/12/2016,14:40,,U16 Girls Final,Clontarf,3,St Vincents,11
2016,03/12/2016,15:20,,U19 Boys Final,St Vincents,5,Drogheda,4
2016,03/12/2016,16:00,,U19 Girls Final,Drogheda,4,St Vincents,6
2016,03/12/2016,16:40,,Div 3 Final,Half Moon,7,Sandycove,6
2016,03/12/2016,17:20,,Div 2 Final,Nth Dublin,6,Drogheda,4
2016,03/12/2016,18:00,,Snr Ladies Final,Trinity,0,St Vincents,4 (w/o)
2016,03/12/2016,19:00,,Snr Mens Final,Half Moon,16,St Vincents,17 (pens)
2016,08/12/2016,20:00,,U16Boys,Sandycove,10,Clontarf,3
2016,08/12/2016,20:40,,LLD3,Sandycove,6,Clontarf,5
2016,08/12/2016,21:20,,LLD2,Trinity,1,Nth Dublin,8
2016,15/12/2016,20:00,,U16Boys,Guinness,7,Nth Dublin,5
2016,15/12/2016,20:40,,U16Boys,Clontarf,1,Sandycove,4
2016,15/12/2016,21:20,,LLD3,St Vincents,4,Half Moon,8
2017,05/01/2017,20:00,,U16Boys,St Vincents,2,Clontarf,5
2017,05/01/2017,20:40,,U16Boys,Sandycove,4,Guinness,0 (w/o)
2017,05/01/2017,21:20,,LLD3,Half Moon,9,Clontarf,4
